timestamp,model,duration_sec,Accuracy,Balanced Accuracy,Precision Red,Recall Red,F1 Red,Precision Blue,Recall Blue,F1 Blue,ROC AUC,Brier Score,MCC,Kappa,param_metric,param_n_neighbors,param_weights,param_C,param_gamma,param_kernel,param_penalty,param_solver,param_max_depth,param_n_estimators,param_learning_rate,param_var_smoothing,param_reg_param,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate_init,param_momentum,param_validation_fraction,param_colsample_bytree,param_subsample
2025-07-22 23:34:02,Random Forest (without odds),19.58,0.5903,0.5548,0.6169,0.7762,0.6874,0.5185,0.3333,0.4058,0.5939,0.239,0.1218,0.1152,,,,,,,,,100.0,100.0,,,,,,,,,,,,,
2025-07-22 23:34:18,AdaBoost (without odds),15.83,0.607,0.5677,0.624,0.8121,0.7057,0.5544,0.3234,0.4085,0.6158,0.2348,0.1555,0.1438,,,,,,,,,,100.0,1.0,,,,,,,,,,,,
2025-07-22 23:34:20,Naive Bayes (without odds),2.16,0.5554,0.5631,0.6468,0.5151,0.5735,0.4768,0.6111,0.5357,0.6003,0.2694,0.1249,0.1214,,,,,,,,,,,,1e-08,,,,,,,,,,,
2025-07-22 23:36:46,Gradient Boosting (without odds),145.82,0.6087,0.5675,0.6232,0.8235,0.7095,0.5607,0.3115,0.4005,0.621,0.2319,0.1576,0.1439,,,,,,,,,3.0,100.0,0.1,,,,,,,,,,,,
2025-07-22 23:36:59,Extra Trees (without odds),12.87,0.5912,0.5536,0.6155,0.7877,0.691,0.521,0.3194,0.3961,0.5835,0.2423,0.1209,0.1132,,,,,,,,,,100.0,,,,,,,,,,,,,
2025-07-22 23:37:02,Quadratic Discriminant Analysis (without odds),2.22,0.617,0.5906,0.6454,0.7547,0.6958,0.557,0.4266,0.4831,0.6318,0.233,0.1915,0.1873,,,,,,,,,,,,,0.9,,,,,,,,,,
2025-07-22 23:47:01,Neural Network (without odds),598.88,0.6278,0.5802,0.6286,0.8766,0.7322,0.6245,0.2837,0.3902,0.6344,0.2291,0.2014,0.1734,,,,,,,,adam,,,adaptive,,,logistic,0.001,32.0,True,"(50, 50)",0.01,0.2,0.2,,
2025-07-22 23:47:45,XGBoost (without odds),43.79,0.602,0.5703,0.6287,0.7676,0.6912,0.5371,0.373,0.4403,0.5994,0.2414,0.1527,0.1468,,,,,,,,,5.0,150.0,0.1,,,,,,,,,,,0.8,0.8
2025-07-22 23:52:47,Logistic Regression,37.6,0.6636,0.6459,0.6925,0.7561,0.7229,0.6136,0.5357,0.572,0.7145,0.2138,0.2989,0.297,,,,0.01,,,l1,liblinear,,,,,,,,,,,,,,,
2025-07-22 23:54:18,Logistic Regression,37.81,0.6636,0.6459,0.6925,0.7561,0.7229,0.6136,0.5357,0.572,0.7145,0.2138,0.2989,0.297,,,,0.01,,,l1,liblinear,,,,,,,,,,,,,,,
2025-07-22 23:55:45,Logistic Regression,38.42,0.6636,0.6459,0.6925,0.7561,0.7229,0.6136,0.5357,0.572,0.7145,0.2138,0.2989,0.297,,,,0.01,,,l1,liblinear,,,,,,,,,,,,,,,
2025-07-23 23:48:24,K-Nearest Neighbors,6.7,0.627,0.5998,0.6513,0.769,0.7053,0.5741,0.4306,0.4921,0.6391,0.2334,0.2121,0.2067,euclidean,15.0,distance,,,,,,,,,,,,,,,,,,,,
2025-07-23 23:53:20,Support Vector Machine,291.67,0.6453,0.6285,0.6804,0.7331,0.7058,0.5867,0.5238,0.5535,0.6943,0.2173,0.262,0.2608,,,,0.01,auto,linear,,,,,,,,,,,,,,,,,
2025-07-23 23:54:00,Logistic Regression,40.14,0.6428,0.6271,0.6806,0.7245,0.7019,0.5817,0.5298,0.5545,0.6954,0.2169,0.2583,0.2575,,,,0.05,,,l1,liblinear,,,,,,,,,,,,,,,
2025-07-23 23:54:22,Random Forest,22.51,0.642,0.6176,0.6658,0.769,0.7137,0.5934,0.4663,0.5222,0.6985,0.2162,0.247,0.2425,,,,,,,,,10.0,100.0,,,,,,,,,,,,,
2025-07-23 23:54:42,AdaBoost,19.7,0.652,0.6361,0.6872,0.7346,0.7101,0.5943,0.5377,0.5646,0.6865,0.2277,0.2769,0.2759,,,,,,,,,,10.0,0.1,,,,,,,,,,,,
2025-07-23 23:54:44,Naive Bayes,2.17,0.6253,0.6239,0.6945,0.6327,0.6622,0.5477,0.6151,0.5794,0.6558,0.2642,0.245,0.2436,,,,,,,,,,,,1e-08,,,,,,,,,,,
2025-07-23 23:58:19,Gradient Boosting,214.28,0.6453,0.6233,0.6717,0.7604,0.7133,0.5947,0.4861,0.5349,0.6885,0.2192,0.2563,0.2529,,,,,,,,,3.0,100.0,0.1,,,,,,,,,,,,
2025-07-23 23:58:32,Extra Trees,13.14,0.6178,0.59,0.6441,0.7633,0.6986,0.56,0.4167,0.4778,0.6441,0.2305,0.1916,0.1865,,,,,,,,,,50.0,,,,,,,,,,,,,
2025-07-23 23:58:34,Quadratic Discriminant Analysis,2.24,0.6386,0.6255,0.6819,0.7073,0.6944,0.5732,0.5437,0.558,0.6723,0.2388,0.253,0.2528,,,,,,,,,,,,,0.9,,,,,,,,,,
2025-07-24 00:09:55,Neural Network,680.35,0.6436,0.6141,0.6595,0.7977,0.7221,0.6061,0.4306,0.5035,0.673,0.2251,0.2463,0.2378,,,,,,,,adam,,,adaptive,,,logistic,0.001,64.0,True,"(50, 50)",0.01,0.2,0.2,,
2025-07-24 00:11:04,XGBoost,69.09,0.652,0.6282,0.6737,0.7762,0.7213,0.608,0.4802,0.5366,0.6923,0.2173,0.2688,0.264,,,,,,,,,3.0,50.0,0.1,,,,,,,,,,,1.0,1.0
2025-07-24 00:11:11,K-Nearest Neighbors (without odds),6.94,0.552,0.5355,0.6088,0.6385,0.6232,0.4638,0.4325,0.4476,0.5504,0.3065,0.0718,0.0717,euclidean,3.0,distance,,,,,,,,,,,,,,,,,,,,
