NumberOfRounds,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,label,Gender_MALE,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,BlueStance_OpenStance,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,RedStance_OpenStance,BetterRank_Red,BetterRank_Blue,BetterRank_neither,FinishRate,WinRatio,ExpPerYear,ReachAdvantageRatio,HeightReachRatio,WinsByDecision,DecisionRate
5,0,1,0,-11,-7,-38,-4,-5,-1,7.62,10.16,-8,1,0,1,0,0,0,1,0,0,0,0,1,0,-0.033333333333333326,0.31818181818181823,-1.1248246844319776,0.9393939393939394,-0.014173998044965663,-5,0.033333333333333326
3,-2,0,-1,-2,-3,-7,0,-2,0,0.0,-2.54,3,1,1,1,0,0,0,1,0,0,0,0,0,1,-1.0,-0.3333333333333333,-0.2314990512333966,1.0131578947368423,0.012645249487354793,0,0.0
3,0,1,0,-2,-2,-7,0,-3,0,-2.54,-5.08,-6,1,1,1,0,0,0,1,0,0,0,0,0,1,-0.75,0.33333333333333337,-0.1717171717171717,1.025974025974026,0.012000657570277795,1,0.75
3,-1,0,-1,-3,1,-9,0,-2,0,12.7,2.54,0,1,1,1,0,0,0,1,0,0,0,0,0,1,-0.09999999999999998,-0.2916666666666667,-0.2647058823529412,0.9864864864864864,0.05460940392447211,-1,0.09999999999999998
3,2,-3,-5,-19,-10,-69,0,-2,-11,2.54,2.54,-9,1,1,1,0,0,0,0,1,0,0,0,0,1,-0.06666666666666665,-0.11538461538461542,-1.6153846153846154,0.9861111111111112,0.0005868544600938774,-6,0.06666666666666671
3,1,-1,-1,-1,1,0,0,-1,0,0.0,7.62,-3,0,1,0,0,1,0,0,1,0,0,0,0,1,-1.0,-1.0,0.012857142857142859,0.9583333333333333,-0.04227053140096615,0,0.0
3,-3,2,0,1,-4,-12,1,0,4,-2.54,2.54,-9,1,0,1,0,0,0,1,0,0,0,1,0,0,0.8,0.3142857142857143,-0.18387096774193545,0.9848484848484849,-0.030769230769230882,-3,-0.8
3,-1,0,-1,-1,-3,-9,0,0,0,-5.08,-12.7,-5,0,1,1,0,0,0,1,0,0,0,0,0,1,0.0,-0.25,-0.2727272727272727,1.0724637681159421,0.0395613004308657,-1,-1.0
3,0,0,-4,-19,-10,-67,-1,-9,-5,-2.54,-5.08,-2,1,1,1,0,0,0,0,1,0,0,0,0,1,-0.7,-0.2916666666666667,-1.708246708246708,1.0256410256410255,0.011217948717948789,-5,0.7
3,-2,0,-1,-1,-2,-7,0,-1,0,7.62,25.4,6,0,1,1,0,0,0,0,0,1,0,0,0,1,-1.0,-0.3333333333333333,-0.2692307692307692,0.8701298701298701,-0.09672417135103728,0,0.0
