RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,Finish,FightStance,label
Miranda Maverick,Jamey-Lyn Horth,-625.0,455.0,16.0,455.0,2024-12-14,"Tampa, Florida, USA",USA,False,Women's Flyweight,FEMALE,3,0,1,0,1,1,9,0,0,1,1,0,0,0,2,Orthodox,170.18,167.64,125.0,0,3,0,3,3,27,0,0,0,4,1,2,0,7,Southpaw,160.02,165.1,125.0,27.0,34.0,0,-2,-2,-5,-2,-18,0,-1,-2,10.16,2.54,7,-0.3,-0.3,-1.43,neither,U-DEC,Open Stance,0
Davey Grant,Ramon Taveras,-122.0,102.0,81.9672,102.0,2024-12-14,"Tampa, Florida, USA",USA,False,Bantamweight,MALE,3,0,2,0,2,1,5,0,0,1,0,1,0,0,2,Southpaw,172.72,177.8,135.0,1,0,0,3,6,32,1,0,1,1,3,1,0,6,Orthodox,172.72,175.26,135.0,38.0,30.0,-1,2,-1,-4,-5,-27,-1,-2,-1,0.0,2.54,-8,-0.14,-0.2,-1.26,neither,U-DEC,Open Stance,0
Josefine Knutsson,Piera Rodriguez,-245.0,200.0,40.8163,200.0,2024-12-14,"Tampa, Florida, USA",USA,False,Women's Strawweight,FEMALE,3,2,0,0,3,2,13,0,0,0,3,0,0,0,3,Orthodox,160.02,160.02,115.0,0,4,0,4,0,12,0,0,0,4,0,0,0,4,Orthodox,160.02,152.4,115.0,28.0,32.0,2,-4,-1,-1,2,1,0,0,0,0.0,7.62,4,-1.23,0.0,1.11,neither,U-DEC,Closed Stance,1
Alexandre Pantoja,Kai Asakura,-250.0,215.0,40.0,215.0,2024-12-07,"Las Vegas, Nevada, USA",USA,True,Flyweight,MALE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,125.0,0,6,0,6,3,42,3,0,2,4,2,4,0,12,Orthodox,165.1,170.18,125.0,34.0,31.0,0,-6,-6,-12,-3,-42,-3,-2,-4,7.62,5.08,-3,-4.41,-0.8,-2.61,Red,SUB,Closed Stance,0
Shavkat Rakhmonov,Ian Machado Garry,-210.0,295.0,47.619,295.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,0,8,0,8,0,20,0,0,1,4,3,0,0,8,Orthodox,190.5,187.96,170.0,0,6,0,6,0,11,0,0,0,0,1,5,0,6,Orthodox,185.42,195.58,170.0,30.0,27.0,0,2,2,2,0,9,0,2,-5,5.08,-7.62,-3,1.38,-1.5,-0.72,Red,U-DEC,Closed Stance,0
Ciryl Gane,Alexander Volkov,-380.0,300.0,26.3158,300.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,3,0,4,0,4,4,44,0,0,1,4,6,1,0,12,Orthodox,200.66,203.2,250.0,0,1,0,7,2,33,3,0,0,3,4,2,0,9,Orthodox,193.04,205.74,245.0,34.0,36.0,0,3,-3,3,2,11,-3,2,-1,7.62,-2.54,2,-0.36,-0.3,-0.13,Red,S-DEC,Closed Stance,0
Bryce Mitchell,Kron Gracie,-950.0,625.0,10.5263,625.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Featherweight,MALE,3,2,0,0,1,2,7,0,0,0,0,0,1,0,1,Southpaw,175.26,177.8,145.0,1,0,0,6,2,22,0,1,0,5,0,1,0,7,Southpaw,177.8,177.8,145.0,30.0,36.0,1,0,-5,-6,0,-15,0,0,0,-2.54,0.0,6,1.44,-1.1,-2.98,Red,KO/TKO,Closed Stance,0
Nate Landwehr,Dooho Choi,-130.0,110.0,76.9231,110.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Featherweight,MALE,3,0,1,1,3,3,15,0,0,0,0,4,0,0,4,Orthodox,177.8,177.8,145.0,0,1,0,3,3,17,0,1,0,1,1,2,0,5,Orthodox,175.26,182.88,145.0,36.0,33.0,0,0,0,-1,0,-2,0,3,-2,2.54,-5.08,-3,-1.84,-0.2,-0.25,neither,KO/TKO,Closed Stance,1
Dominick Reyes,Anthony Smith,-380.0,300.0,26.3158,300.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Light Heavyweight,MALE,3,1,0,0,3,12,63,1,0,1,1,7,6,0,15,Orthodox,193.04,193.04,205.0,0,1,0,6,4,21,2,0,1,1,4,1,0,7,Southpaw,193.04,195.58,205.0,34.0,36.0,1,-1,-3,8,8,42,-1,3,5,0.0,-2.54,2,-1.63,0.3,0.11,Red,KO/TKO,Open Stance,0
Vicente Luque,Themba Gorimbo,-650.0,-162.0,15.3846,61.7284,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,0,4,0,4,1,12,0,0,0,3,1,0,0,4,Orthodox,185.42,195.58,170.0,1,0,0,6,6,47,0,0,1,1,8,5,0,15,Orthodox,180.34,190.5,170.0,33.0,33.0,-1,4,-2,-11,-5,-35,0,-7,-5,5.08,5.08,0,-1.96,0.0,3.89,Red,SUB,Closed Stance,0
Movsar Evloev,Aljamain Sterling,-238.0,195.0,42.0168,195.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Featherweight,MALE,3,0,1,0,9,4,57,5,0,2,7,2,4,0,16,Orthodox,170.18,180.34,145.0,0,8,0,8,0,24,0,0,1,7,0,0,0,8,Orthodox,170.18,182.88,145.0,30.0,35.0,0,-7,1,8,4,33,5,2,4,0.0,-2.54,5,0.18,0.5,-2.44,Red,U-DEC,Closed Stance,0
Randy Brown,Bryan Battle,150.0,-180.0,150.0,55.5556,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,0,3,0,3,1,16,0,0,0,1,3,2,0,6,Orthodox,185.42,195.58,170.0,0,3,0,4,5,43,0,0,1,6,3,3,0,13,Orthodox,190.5,198.12,170.0,34.0,30.0,0,0,-1,-7,-4,-27,0,0,-1,-5.08,-2.54,-4,1.06,-0.1,0.24,neither,S-DEC,Closed Stance,1
Chris Weidman,Eryk Anders,-112.0,-108.0,89.2857,92.5926,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Catch Weight,MALE,3,0,1,0,2,8,44,0,0,1,3,4,0,0,8,Southpaw,185.42,190.5,185.0,0,1,0,9,7,46,5,0,0,5,4,3,0,12,Orthodox,187.96,198.12,185.0,40.0,37.0,0,0,-7,-4,1,-2,-5,0,-3,-2.54,-7.62,-3,0.23,-0.7,-1.65,neither,KO/TKO,Open Stance,1
Cody Durden,Joshua Van,142.0,-170.0,142.0,58.8235,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Flyweight,MALE,3,0,1,0,3,1,14,0,0,1,2,1,0,0,4,Orthodox,165.1,165.1,125.0,0,1,1,4,4,24,0,0,0,4,1,1,0,6,Southpaw,170.18,170.18,125.0,33.0,23.0,0,0,-1,-2,-3,-10,0,0,-1,-5.08,-5.08,-10,5.04,-0.9,-2.74,Red,U-DEC,Open Stance,1
Michael Chiesa,Max Griffin,-130.0,110.0,76.9231,110.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,0,1,0,3,8,44,0,1,2,2,3,0,0,8,Orthodox,180.34,193.04,170.0,0,1,0,4,7,41,1,0,0,5,0,7,0,12,Southpaw,185.42,190.5,170.0,37.0,39.0,0,0,-1,-4,1,3,-1,3,-7,-5.08,2.54,2,2.06,-0.7,-1.9,neither,SUB,Open Stance,0
Clay Guida,Chase Hooper,700.0,-1100.0,700.0,9.0909,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Lightweight,MALE,3,0,3,0,3,3,23,0,0,0,2,2,3,0,7,Southpaw,185.42,187.96,155.0,2,0,0,4,19,105,2,0,4,9,2,5,0,20,Orthodox,170.18,177.8,155.0,42.0,25.0,-2,3,-1,-13,-16,-82,-2,0,-2,15.24,10.16,-17,2.44,1.7,-1.68,neither,SUB,Open Stance,1
Kennedy Nzechukwu,Lukasz Brzeski,-550.0,410.0,18.1818,410.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,3,1,0,0,1,4,14,0,0,0,1,0,1,0,2,Orthodox,193.04,198.12,236.0,0,1,0,3,5,31,0,0,1,1,6,1,0,9,Southpaw,195.58,210.82,205.0,32.0,32.0,1,-1,-2,-7,-1,-17,0,-6,0,-2.54,-12.7,0,-0.44,0.3,-0.12,neither,KO/TKO,Open Stance,0
Petr Yan,Deiveson Figueiredo,-305.0,245.0,32.7869,245.0,2024-11-23,"Macau, China",China,False,Bantamweight,MALE,5,0,3,1,5,3,44,6,0,1,4,4,4,0,13,Orthodox,165.1,172.72,135.0,0,1,0,7,4,45,4,0,0,5,4,0,0,9,Switch,170.18,170.18,135.0,31.0,36.0,0,2,-2,4,-1,-1,2,0,4,-5.08,2.54,5,-2.2,1.3,0.01,Red,U-DEC,Open Stance,0
Yan Xiaonan,Tabatha Ricci,-198.0,164.0,50.5051,164.0,2024-11-23,"Macau, China",China,False,Women's Strawweight,FEMALE,3,0,2,0,4,2,22,0,0,1,4,0,1,0,6,Orthodox,154.94,154.94,115.0,1,0,0,6,3,34,1,1,0,6,1,0,0,8,Orthodox,165.1,160.02,115.0,35.0,29.0,-1,2,-2,-2,-1,-12,-1,-1,1,-10.16,-5.08,-6,-0.81,0.1,1.82,Red,U-DEC,Closed Stance,0
Wang Cong,Gabriella Fernandes,-950.0,750.0,10.5263,750.0,2024-11-23,"Macau, China",China,False,Women's Flyweight,FEMALE,3,0,1,0,1,2,9,0,0,1,0,0,0,0,1,Southpaw,167.64,167.64,125.0,0,2,0,2,0,2,0,0,0,0,1,1,0,2,Southpaw,167.64,167.64,125.0,32.0,31.0,0,-1,-1,-1,2,7,0,-1,-1,0.0,0.0,-1,-2.35,-2.0,-0.6,neither,SUB,Closed Stance,1
Volkan Oezdemir,Carlos Ulberg,215.0,-265.0,215.0,37.7358,2024-11-23,"Macau, China",China,False,Light Heavyweight,MALE,3,0,6,0,6,1,13,0,0,0,1,5,1,0,7,Orthodox,193.04,195.58,205.0,0,2,0,3,6,31,1,0,2,1,4,1,0,8,Orthodox,187.96,190.5,205.0,35.0,34.0,0,4,3,-1,-5,-18,-1,1,0,5.08,5.08,-1,2.25,0.1,0.22,Red,U-DEC,Closed Stance,1
