RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,Finish,FightStance,label
Omari Akhmedov,Brad Tavares,130.0,-162.0,130.0,61.7284,2021-07-10,"Las Vegas, Nevada, USA",USA,False,Middleweight,MALE,3,0,1,0,5,6,52,0,0,2,9,2,0,0,13,Orthodox,185.42,187.96,185.0,0,1,1,3,4,35,0,0,1,5,2,1,0,9,Orthodox,182.88,185.42,185.0,33.0,33.0,0,0,2,4,2,17,0,0,-1,2.54,2.54,0,0.21,-0.2,-1.67,Red,S-DEC,Closed Stance,1
Zhalgas Zhumagulov,Jerome Rivera,-315.0,240.0,31.746,240.0,2021-07-10,"Las Vegas, Nevada, USA",USA,False,Flyweight,MALE,3,3,0,0,1,3,9,0,0,0,1,0,0,0,1,Southpaw,177.8,182.88,125.0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,Switch,162.56,167.64,125.0,32.0,26.0,1,0,1,1,1,3,0,0,0,15.24,15.24,-6,-1.0,-0.5,-1.4,neither,SUB,Open Stance,0
Ciryl Gane,Alexander Volkov,-155.0,125.0,64.5161,125.0,2021-06-26,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,5,0,2,0,4,2,28,0,0,1,2,4,0,0,7,Orthodox,200.66,203.2,250.0,0,5,0,5,0,14,0,0,0,2,1,2,0,5,Orthodox,193.04,205.74,245.0,31.0,32.0,0,-3,-1,2,2,14,0,3,-2,7.62,-2.54,1,-0.16,-0.3,-0.47,Red,U-DEC,Closed Stance,0
Tanner Boser,Ovince Saint Preux,-195.0,153.0,51.2821,153.0,2021-06-26,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,3,1,0,0,5,11,69,1,1,0,4,9,5,0,19,Southpaw,190.5,203.2,205.0,2,0,0,2,3,15,0,0,0,1,2,0,0,3,Orthodox,187.96,190.5,255.0,29.0,38.0,-1,0,3,16,8,54,1,7,5,2.54,12.7,9,-1.53,0.6,1.19,neither,KO/TKO,Open Stance,0
Raoni Barcelos,Timur Valiev,-230.0,180.0,43.4783,180.0,2021-06-26,"Las Vegas, Nevada, USA",USA,False,Bantamweight,MALE,3,0,1,0,1,0,5,0,0,0,1,0,0,0,1,Orthodox,167.64,170.18,135.0,0,5,0,5,0,13,0,0,0,2,2,1,0,5,Orthodox,170.18,170.18,135.0,34.0,31.0,0,-4,-4,-4,0,-8,0,-2,-1,-2.54,0.0,-3,-0.09,-0.7,0.5,neither,M-DEC,Closed Stance,1
Tim Means,Nicolas Dalby,-143.0,113.0,69.9301,113.0,2021-06-26,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,0,2,1,2,2,19,0,0,1,2,0,0,0,3,Orthodox,180.34,187.96,170.0,0,2,0,4,9,51,0,0,1,5,5,2,0,13,Orthodox,187.96,190.5,170.0,37.0,36.0,0,0,-2,-10,-7,-32,0,-5,-2,-7.62,-2.54,-1,-1.96,-0.2,0.53,neither,U-DEC,Closed Stance,0
Renato Moicano,Jai Herbert,-250.0,195.0,40.0,195.0,2021-06-26,"Las Vegas, Nevada, USA",USA,False,Lightweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,185.42,195.58,155.0,1,0,0,3,4,20,0,0,2,1,0,3,0,6,Orthodox,180.34,182.88,155.0,32.0,33.0,0,0,-3,-6,-3,-17,0,0,-3,5.08,12.7,1,-3.57,-0.6,-1.28,neither,SUB,Closed Stance,0
Kennedy Nzechukwu,Danilo Marques,-136.0,110.0,73.5294,110.0,2021-06-26,"Las Vegas, Nevada, USA",USA,False,Light Heavyweight,MALE,3,0,2,0,2,0,5,0,0,0,1,0,1,0,2,Orthodox,198.12,195.58,205.0,0,2,0,2,1,12,0,0,1,1,2,0,0,4,Southpaw,195.58,210.82,205.0,29.0,35.0,0,0,0,-2,-1,-7,0,-2,1,2.54,-15.24,6,-3.57,1.2,4.83,neither,KO/TKO,Open Stance,0
Shavkat Rakhmonov,Michel Prazeres,-305.0,235.0,32.7869,235.0,2021-06-26,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,1,0,0,8,3,35,0,0,3,4,0,3,0,10,Orthodox,167.64,170.18,170.0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,185.42,195.58,170.0,26.0,39.0,1,-1,7,9,3,34,0,0,2,-17.78,-25.4,13,-0.35,-2.6,4.11,neither,SUB,Closed Stance,0
Warlley Alves,Jeremiah Wells,-240.0,187.0,41.6667,187.0,2021-06-26,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,175.26,187.96,170.0,0,1,0,4,4,28,0,0,0,2,3,3,0,8,Orthodox,180.34,182.88,170.0,30.0,34.0,0,-1,-4,-8,-4,-28,0,-3,-3,-5.08,5.08,4,-3.09,-1.0,-1.48,neither,KO/TKO,Open Stance,1
Marcin Prachnio,Ike Villanueva,-225.0,180.0,44.4444,180.0,2021-06-26,"Las Vegas, Nevada, USA",USA,False,Light Heavyweight,MALE,3,0,1,0,1,2,5,0,0,0,0,1,0,0,1,Orthodox,185.42,185.42,205.0,0,1,0,1,3,6,0,0,0,1,0,0,0,1,Orthodox,190.5,187.96,205.0,32.0,37.0,0,0,0,0,-1,-1,0,1,0,-5.08,-2.54,5,-1.78,0.0,0.0,neither,KO/TKO,Closed Stance,0
Julia Avila,Julija Stoliarenko,-375.0,275.0,26.6667,275.0,2021-06-26,"Las Vegas, Nevada, USA",USA,False,Women's Bantamweight,FEMALE,3,2,0,0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,170.18,167.64,135.0,1,0,0,2,1,7,0,0,0,1,1,0,0,2,Orthodox,170.18,172.72,135.0,33.0,28.0,1,0,-2,-2,1,-1,0,-1,0,0.0,-5.08,-5,-1.0,0.5,-0.49,Red,SUB,Closed Stance,0
Charles Rosa,Justin Jaynes,-177.0,140.0,56.4972,140.0,2021-06-26,"Las Vegas, Nevada, USA",USA,False,Featherweight,MALE,3,3,0,0,1,3,7,0,0,0,0,1,0,0,1,Orthodox,170.18,172.72,145.0,1,0,0,1,5,25,0,0,1,1,0,2,0,4,Switch,175.26,175.26,145.0,34.0,31.0,2,0,0,-3,-2,-18,0,1,-2,-5.08,-2.54,-3,0.47,-0.4,-1.76,neither,S-DEC,Open Stance,0
Yancy Medeiros,Damir Hadzovic,120.0,-150.0,120.0,66.6667,2021-06-26,"Las Vegas, Nevada, USA",USA,False,Lightweight,MALE,3,2,0,0,2,4,16,0,0,1,0,2,0,0,3,Orthodox,175.26,177.8,155.0,3,0,0,3,7,31,0,0,1,1,3,3,0,8,Orthodox,177.8,190.5,155.0,33.0,34.0,-1,0,-1,-5,-3,-15,0,-1,-3,-2.54,-12.7,1,-1.06,-0.3,0.56,neither,U-DEC,Closed Stance,1
Chan Sung Jung,Dan Ige,130.0,-162.0,130.0,61.7284,2021-06-19,"Las Vegas, Nevada, USA",USA,False,Featherweight,MALE,5,0,1,0,6,2,26,0,0,2,2,2,2,0,8,Orthodox,170.18,180.34,145.0,1,0,0,3,5,29,1,0,0,0,4,2,0,6,Orthodox,170.18,182.88,145.0,34.0,29.0,-1,1,3,2,-3,-3,-1,-2,0,0.0,-2.54,-5,-0.25,-0.3,0.56,Red,U-DEC,Closed Stance,0
Aleksei Oleinik,Serghei Spivac,200.0,-265.0,200.0,37.7358,2021-06-19,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,3,0,2,0,2,2,11,0,1,0,0,1,1,0,3,Orthodox,190.5,198.12,260.0,2,0,0,2,6,22,0,0,1,0,1,6,0,8,Orthodox,187.96,203.2,240.0,43.0,26.0,-2,2,0,-5,-4,-11,0,0,-5,2.54,-5.08,-17,0.3,-2.0,0.67,Red,U-DEC,Closed Stance,1
Marlon Vera,Davey Grant,-230.0,180.0,43.4783,180.0,2021-06-19,"Las Vegas, Nevada, USA",USA,False,Bantamweight,MALE,3,0,3,0,3,3,17,0,0,1,1,2,0,0,4,Orthodox,172.72,175.26,135.0,1,0,0,5,6,38,0,0,0,1,5,4,0,10,Switch,172.72,177.8,135.0,28.0,35.0,-1,3,-2,-6,-3,-21,0,-3,-4,0.0,-2.54,7,0.3,-1.1,1.19,Red,U-DEC,Open Stance,0
Julian Erosa,SeungWoo Choi,120.0,-150.0,120.0,66.6667,2021-06-19,"Las Vegas, Nevada, USA",USA,False,Featherweight,MALE,3,0,2,0,2,2,12,0,0,0,2,0,0,0,2,Orthodox,182.88,187.96,145.0,0,2,0,2,4,18,0,0,1,0,2,1,0,4,Southpaw,185.42,187.96,145.0,31.0,28.0,0,0,0,-2,-2,-6,0,-2,-1,-2.54,0.0,-3,-1.79,-0.9,-0.29,neither,KO/TKO,Open Stance,1
Wellington Turman,Bruno Silva,100.0,-125.0,100.0,80.0,2021-06-19,"Las Vegas, Nevada, USA",USA,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,185.0,1,0,0,1,2,7,0,0,0,1,0,0,0,1,Orthodox,182.88,182.88,185.0,24.0,31.0,-1,0,-1,-1,-2,-7,0,0,0,0.0,5.08,7,1.56,-0.8,-2.31,neither,KO/TKO,Closed Stance,1
Matt Brown,Dhiego Lima,145.0,-186.0,145.0,53.7634,2021-06-19,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,1,0,0,3,6,21,0,0,2,1,1,0,0,4,Orthodox,187.96,190.5,170.0,2,0,0,7,12,61,0,0,0,2,11,2,0,15,Orthodox,182.88,190.5,170.0,40.0,32.0,-1,0,-4,-11,-6,-40,0,-10,-2,5.08,0.0,-8,-0.56,-0.8,-0.26,neither,KO/TKO,Closed Stance,0
Aleksa Camur,Nicolae Negumereanu,-265.0,200.0,37.7358,200.0,2021-06-19,"Las Vegas, Nevada, USA",USA,False,Light Heavyweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,182.88,198.12,205.0,1,0,0,2,1,8,0,0,0,1,1,0,0,2,Orthodox,185.42,187.96,205.0,25.0,26.0,0,0,-2,-2,0,-5,0,-1,0,-2.54,10.16,1,-2.05,0.0,-0.09,neither,S-DEC,Closed Stance,1
Kanako Murata,Virna Jandiroba,112.0,-139.0,112.0,71.9424,2021-06-19,"Las Vegas, Nevada, USA",USA,False,Women's Strawweight,FEMALE,3,1,0,0,2,2,9,0,0,0,0,0,2,0,2,Orthodox,160.02,162.56,115.0,0,1,0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,154.94,157.48,115.0,27.0,33.0,1,-1,1,1,2,6,0,0,2,5.08,5.08,6,0.57,0.7,0.1,Blue,KO/TKO,Closed Stance,1
Khaos Williams,Matthew Semelsberger,-162.0,130.0,61.7284,130.0,2021-06-19,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,0,2,0,2,0,4,0,0,0,1,1,0,0,2,Switch,185.42,190.5,170.0,1,0,0,2,1,5,0,0,0,0,2,0,0,2,Orthodox,182.88,195.58,170.0,27.0,28.0,-1,2,0,0,-1,-1,0,-1,0,2.54,-5.08,1,0.91,0.5,0.99,neither,U-DEC,Open Stance,0
Josh Parisian,Roque Martinez,-155.0,120.0,64.5161,120.0,2021-06-19,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,3,2,0,0,0,2,5,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,250.0,1,0,0,2,1,5,0,0,0,0,2,0,0,2,Orthodox,193.04,200.66,265.0,31.0,35.0,1,0,-2,-2,1,0,0,-2,0,-15.24,-17.78,4,-3.25,0.0,-0.05,neither,S-DEC,Closed Stance,0
Joaquim Silva,Ricky Glenn,-134.0,105.0,74.6269,105.0,2021-06-19,"Las Vegas, Nevada, USA",USA,False,Lightweight,MALE,3,1,0,0,2,3,18,0,0,2,1,0,0,0,3,Southpaw,182.88,177.8,145.0,1,0,0,3,2,15,0,0,2,0,2,0,0,4,Southpaw,172.72,175.26,155.0,32.0,32.0,0,0,-1,-1,1,3,0,-2,0,10.16,2.54,0,0.49,-0.4,0.43,neither,KO/TKO,Closed Stance,1
Casey O'Neill,Lara Procopio,135.0,-167.0,135.0,59.8802,2021-06-19,"Las Vegas, Nevada, USA",USA,False,Women's Flyweight,FEMALE,3,0,1,0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,162.56,170.18,125.0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,167.64,175.26,125.0,23.0,25.0,0,0,0,0,1,4,0,-1,0,-5.08,-5.08,2,0.08,-1.8,-0.32,neither,SUB,Closed Stance,0
Israel Adesanya,Marvin Vettori,-235.0,185.0,42.5532,185.0,2021-06-12,"Glendale, Arizona, USA",USA,True,Middleweight,MALE,5,0,5,1,5,2,30,0,0,0,5,0,2,0,7,Southpaw,182.88,187.96,185.0,1,0,0,9,1,33,5,0,1,4,4,0,0,9,Switch,193.04,203.2,185.0,31.0,27.0,-1,5,-4,-2,1,-3,-5,-4,2,-10.16,-15.24,-4,-0.06,0.5,2.24,Red,U-DEC,Open Stance,0
Deiveson Figueiredo,Brandon Moreno,-195.0,150.0,51.2821,150.0,2021-06-12,"Glendale, Arizona, USA",USA,True,Flyweight,MALE,5,0,3,2,3,2,29,1,0,1,2,1,2,0,6,Orthodox,170.18,177.8,125.0,0,5,1,5,1,25,3,0,1,1,4,3,0,9,Orthodox,165.1,172.72,125.0,33.0,27.0,0,-2,-2,-3,1,4,-2,-3,-1,5.08,5.08,-6,0.2,-1.3,0.51,Red,SUB,Closed Stance,1
Leon Edwards,Nate Diaz,-500.0,355.0,20.0,355.0,2021-06-12,"Glendale, Arizona, USA",USA,False,Welterweight,MALE,3,1,0,0,5,11,72,1,0,1,3,4,11,0,19,Southpaw,182.88,193.04,170.0,0,8,0,8,2,40,0,0,1,6,2,1,0,10,Southpaw,187.96,187.96,170.0,29.0,36.0,1,-8,-3,9,9,32,1,2,10,-5.08,5.08,7,1.89,1.0,-0.38,Red,U-DEC,Closed Stance,0
Demian Maia,Belal Muhammad,170.0,-220.0,170.0,45.4545,2021-06-12,"Glendale, Arizona, USA",USA,False,Welterweight,MALE,3,0,4,0,4,3,36,0,0,1,6,1,1,0,9,Orthodox,180.34,182.88,170.0,1,0,0,7,10,86,2,1,1,8,1,11,0,22,Southpaw,185.42,182.88,170.0,43.0,32.0,-1,4,-3,-13,-7,-50,-2,0,-10,-5.08,0.0,-11,2.81,-0.8,-0.69,Red,U-DEC,Open Stance,1
Paul Craig,Jamahal Hill,210.0,-275.0,210.0,36.3636,2021-06-12,"Glendale, Arizona, USA",USA,False,Light Heavyweight,MALE,3,0,3,0,3,0,8,0,0,0,1,2,0,0,3,Southpaw,193.04,200.66,205.0,0,3,1,2,4,21,0,0,0,0,1,5,0,6,Orthodox,190.5,193.04,205.0,33.0,30.0,0,0,1,-3,-4,-13,0,1,-5,2.54,7.62,-3,4.91,-1.9,-2.06,Red,KO/TKO,Open Stance,0
Drew Dober,Brad Riddell,-152.0,120.0,65.7895,120.0,2021-06-12,"Glendale, Arizona, USA",USA,False,Lightweight,MALE,3,0,3,0,3,0,9,0,0,1,2,0,0,0,3,Orthodox,170.18,180.34,155.0,1,0,0,3,6,33,0,0,0,3,6,1,0,10,Southpaw,172.72,177.8,155.0,32.0,29.0,-1,3,0,-7,-6,-24,0,-6,-1,-2.54,2.54,-3,0.37,-0.1,1.18,neither,U-DEC,Open Stance,1
Eryk Anders,Darren Stewart,-150.0,120.0,66.6667,120.0,2021-06-12,"Glendale, Arizona, USA",USA,False,Light Heavyweight,MALE,3,1,0,0,3,5,25,0,0,1,1,2,1,0,5,Orthodox,182.88,187.96,185.0,1,0,0,2,5,29,0,0,1,1,3,0,0,5,Southpaw,185.42,190.5,185.0,34.0,30.0,0,0,1,0,0,-4,0,-1,1,-2.54,-2.54,-4,-0.22,0.0,0.09,neither,U-DEC,Open Stance,0
Lauren Murphy,Joanne Calderwood,117.0,-148.0,117.0,67.5676,2021-06-12,"Glendale, Arizona, USA",USA,False,Women's Flyweight,FEMALE,3,0,1,0,2,5,28,0,0,1,4,1,1,0,7,Orthodox,167.64,165.1,125.0,0,4,0,4,4,29,0,0,2,1,2,1,0,6,Orthodox,165.1,170.18,125.0,37.0,35.0,0,-3,-2,1,1,-1,0,-1,0,2.54,-5.08,-2,2.8,0.3,0.46,Red,S-DEC,Closed Stance,0
Movsar Evloev,Hakeem Dawodu,-240.0,188.0,41.6667,188.0,2021-06-12,"Glendale, Arizona, USA",USA,False,Featherweight,MALE,3,0,5,0,5,1,16,0,0,3,1,1,0,0,5,Orthodox,172.72,185.42,145.0,0,4,0,4,0,12,0,0,1,3,0,0,0,4,Orthodox,170.18,182.88,145.0,27.0,29.0,0,1,1,1,1,4,0,1,0,2.54,2.54,2,0.4,-0.4,-4.0,Red,U-DEC,Closed Stance,0
Pannie Kianzad,Alexis Davis,-240.0,187.0,41.6667,187.0,2021-06-12,"Glendale, Arizona, USA",USA,False,Women's Bantamweight,FEMALE,3,0,1,0,3,6,40,1,0,2,5,1,1,0,9,Orthodox,167.64,172.72,135.0,0,3,0,3,2,14,0,0,0,3,0,0,0,3,Orthodox,170.18,167.64,135.0,29.0,36.0,0,-2,0,6,4,26,1,1,1,-2.54,5.08,7,-1.16,0.5,0.76,Red,U-DEC,Closed Stance,0
Matt Frevola,Terrance McKinney,-210.0,160.0,47.619,160.0,2021-06-12,"Glendale, Arizona, USA",USA,False,Lightweight,MALE,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,Switch,177.8,185.42,155.0,1,0,1,2,2,15,0,0,1,1,0,1,0,3,Orthodox,175.26,180.34,155.0,31.0,26.0,0,0,-2,-3,-1,-13,0,0,-1,2.54,5.08,-5,-1.0,-1.1,1.75,neither,KO/TKO,Open Stance,1
Chase Hooper,Steven Peterson,-108.0,-114.0,92.5926,87.7193,2021-06-12,"Glendale, Arizona, USA",USA,False,Featherweight,MALE,3,0,1,0,1,4,17,0,0,1,0,1,0,0,2,Orthodox,177.8,177.8,145.0,0,1,0,2,1,10,0,0,0,1,1,1,0,3,Southpaw,185.42,187.96,145.0,21.0,31.0,0,0,-1,-1,3,7,0,0,-1,-7.62,-10.16,10,0.56,-1.6,0.91,neither,U-DEC,Open Stance,1
Fares Ziam,Luigi Vendramini,-125.0,102.0,80.0,102.0,2021-06-12,"Glendale, Arizona, USA",USA,False,Lightweight,MALE,3,0,1,0,1,1,3,0,0,0,0,1,0,0,1,Orthodox,172.72,185.42,170.0,0,1,0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,185.42,190.5,155.0,24.0,25.0,0,0,0,0,0,-3,0,1,0,-12.7,-5.08,1,0.13,0.7,0.34,neither,M-DEC,Closed Stance,0
Carlos Felipe,Jake Collier,-165.0,130.0,60.6061,130.0,2021-06-12,"Glendale, Arizona, USA",USA,False,Heavyweight,MALE,3,0,1,0,1,4,18,0,0,1,2,1,0,0,4,Orthodox,190.5,198.12,230.0,0,2,0,2,1,9,0,0,1,1,0,0,0,2,Orthodox,182.88,190.5,245.0,26.0,32.0,0,-1,-1,2,3,9,0,1,0,7.62,7.62,6,0.64,0.3,0.48,neither,S-DEC,Closed Stance,0
Jairzinho Rozenstruik,Augusto Sakai,-118.0,-106.0,84.7458,94.3396,2021-06-05,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,5,1,0,0,5,1,17,0,0,2,0,3,0,0,5,Orthodox,190.5,195.58,265.0,1,0,0,4,2,17,0,0,0,0,5,0,0,5,Orthodox,187.96,198.12,242.0,33.0,30.0,0,0,1,0,-1,0,0,-2,0,2.54,-2.54,-3,1.95,0.0,0.14,Red,KO/TKO,Closed Stance,0
Walt Harris,Marcin Tybura,140.0,-177.0,140.0,56.4972,2021-06-05,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,3,0,4,0,4,5,36,0,0,0,5,3,0,0,8,Orthodox,190.5,198.12,249.0,2,0,0,3,8,26,0,0,0,0,6,0,0,6,Southpaw,195.58,195.58,250.0,37.0,35.0,-2,4,1,2,-3,10,0,-3,0,-5.08,2.54,-2,0.58,0.0,1.38,Red,KO/TKO,Open Stance,1
Roman Dolidze,Laureano Staropoli,-150.0,120.0,66.6667,120.0,2021-06-05,"Las Vegas, Nevada, USA",USA,False,Middleweight,MALE,3,2,0,0,2,2,12,0,0,0,2,0,0,0,2,Orthodox,185.42,180.34,185.0,1,0,0,2,1,7,0,0,1,0,1,0,0,2,Orthodox,187.96,193.04,205.0,32.0,28.0,1,0,0,0,1,5,0,-1,0,-2.54,-12.7,-4,1.28,-1.5,-1.94,neither,U-DEC,Closed Stance,0
Santiago Ponzinibbio,Miguel Baeza,105.0,-134.0,105.0,74.6269,2021-06-05,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,0,4,0,4,0,9,0,0,0,1,2,1,0,4,Orthodox,187.96,187.96,170.0,1,0,0,7,3,26,0,0,0,4,5,0,0,9,Orthodox,182.88,185.42,170.0,34.0,28.0,-1,4,-3,-5,-3,-17,0,-3,1,5.08,2.54,-6,0.65,0.9,0.11,neither,U-DEC,Closed Stance,0
Dusko Todorovic,Gregory Rodrigues,-177.0,140.0,56.4972,140.0,2021-06-05,"Las Vegas, Nevada, USA",USA,False,Middleweight,MALE,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,190.5,190.5,185.0,1,0,0,2,1,6,0,0,0,1,1,0,0,2,Orthodox,185.42,187.96,185.0,27.0,29.0,0,0,-2,-2,0,-5,0,-1,0,5.08,2.54,2,-0.8,0.0,2.25,neither,U-DEC,Closed Stance,1
Montana De La Rosa,Ariane Lipski,-114.0,195.0,87.7193,195.0,2021-06-05,"Las Vegas, Nevada, USA",USA,False,Women's Flyweight,FEMALE,3,1,0,0,2,3,12,0,0,0,1,0,1,0,2,Orthodox,167.64,170.18,125.0,1,0,1,3,2,18,0,0,0,1,0,3,0,4,Orthodox,170.18,172.72,125.0,26.0,27.0,0,0,-1,-2,1,-6,0,0,-2,-2.54,-2.54,1,-0.11,-0.6,-2.02,neither,KO/TKO,Closed Stance,0
Tanner Boser,Ilir Latifi,-200.0,160.0,50.0,160.0,2021-06-05,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,3,3,0,0,3,6,25,0,0,0,2,3,2,0,7,Orthodox,177.8,185.42,230.0,1,0,0,2,2,12,0,0,0,1,2,0,0,3,Orthodox,187.96,190.5,255.0,29.0,37.0,2,0,1,4,4,13,0,1,2,-10.16,-5.08,8,-2.37,0.4,2.02,neither,S-DEC,Closed Stance,1
Francisco Trinaldo,Muslim Salikhov,180.0,-230.0,180.0,43.4783,2021-06-05,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,0,4,0,4,1,11,0,0,1,1,2,0,0,4,Orthodox,180.34,177.8,170.0,0,3,0,7,6,56,0,0,1,8,5,2,0,16,Southpaw,175.26,177.8,155.0,42.0,36.0,0,1,-3,-12,-5,-45,0,-3,-2,5.08,0.0,-6,0.05,-0.5,0.09,neither,U-DEC,Open Stance,1
Makwan Amirkhani,Kamuela Kirk,-230.0,180.0,43.4783,180.0,2021-06-05,"Las Vegas, Nevada, USA",USA,False,Featherweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Switch,177.8,190.5,145.0,1,0,0,3,3,20,0,0,1,1,1,3,0,6,Southpaw,177.8,182.88,145.0,32.0,27.0,0,0,-3,-6,-2,-17,0,-1,-3,0.0,7.62,-5,1.87,0.7,-2.43,neither,U-DEC,Open Stance,1
Manon Fiorot,Tabatha Ricci,-165.0,375.0,60.6061,375.0,2021-06-05,"Las Vegas, Nevada, USA",USA,False,Women's Flyweight,FEMALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,154.94,154.94,125.0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,170.18,165.1,125.0,31.0,26.0,0,-1,-1,-1,0,-2,0,-1,0,-15.24,-10.16,-5,-5.87,0.0,-1.75,neither,KO/TKO,Closed Stance,0
Sean Woodson,Youssef Zalal,-200.0,160.0,50.0,160.0,2021-06-05,"Las Vegas, Nevada, USA",USA,False,Featherweight,MALE,3,2,0,0,3,2,15,0,0,0,3,0,0,0,3,Switch,177.8,182.88,145.0,1,0,0,2,1,8,0,0,0,1,1,0,0,2,Orthodox,187.96,198.12,145.0,28.0,24.0,1,0,1,1,1,7,0,-1,0,-10.16,-15.24,-4,-2.76,0.6,2.33,neither,S-DEC,Open Stance,0
Claudio Puelles,Jordan Leavitt,165.0,-215.0,165.0,46.5116,2021-06-05,"Las Vegas, Nevada, USA",USA,False,Lightweight,MALE,3,0,2,0,2,0,2,0,0,0,0,1,1,0,2,Southpaw,175.26,180.34,155.0,0,2,0,2,1,8,0,0,0,1,0,1,0,2,Southpaw,177.8,182.88,155.0,25.0,26.0,0,0,0,0,-1,-6,0,1,0,-2.54,-2.54,1,-0.43,-0.1,-0.29,neither,U-DEC,Closed Stance,0
Rob Font,Cody Garbrandt,-130.0,110.0,76.9231,110.0,2021-05-22,"Las Vegas, Nevada, USA",USA,False,Bantamweight,MALE,5,0,1,0,6,3,20,3,0,0,2,5,0,0,7,Orthodox,172.72,165.1,135.0,0,3,0,3,3,22,0,0,0,2,5,1,0,8,Orthodox,172.72,180.34,135.0,33.0,29.0,0,-2,3,-1,0,-2,3,0,-1,0.0,-15.24,-4,-2.41,-0.6,-0.15,Red,U-DEC,Closed Stance,0
Yan Xiaonan,Carla Esparza,-137.0,117.0,72.9927,117.0,2021-05-22,"Las Vegas, Nevada, USA",USA,False,Women's Strawweight,FEMALE,3,0,4,0,4,4,35,2,1,2,4,0,1,0,8,Orthodox,154.94,160.02,115.0,0,6,0,6,0,18,0,0,0,6,0,0,0,6,Orthodox,165.1,160.02,115.0,31.0,33.0,0,-2,-2,2,4,17,2,0,1,-10.16,0.0,2,-3.61,0.3,2.61,Red,KO/TKO,Closed Stance,1
Justin Tafa,Jared Vanderaa,-178.0,157.0,56.1798,157.0,2021-05-22,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,3,1,0,0,1,1,3,0,0,0,0,1,0,0,1,Orthodox,193.04,203.2,260.0,1,0,0,1,2,5,0,0,0,0,1,0,0,1,Southpaw,182.88,187.96,264.0,27.0,29.0,0,0,0,0,-1,-2,0,0,0,10.16,15.24,2,0.44,0.0,0.53,neither,U-DEC,Open Stance,1
