IsFiveRoundFight,FightStance_Open Stance,WeightGroup_Heavy,WeightGroup_Light,WeightGroup_Medium,WeightGroup_Women,BlueTotalTitleBouts,RedTotalTitleBouts,LoseStreakDif,WinStreakDif,LongestWinStreakDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,RedTotalFights,BlueTotalFights,HeightReachRatioDif,RedFinishRate,BlueFinishRate,RedWinRatio,BlueWinRatio,RedKOPerFight,BlueKOPerFight,RedSubPerFight,BlueSubPerFight,OddsDif,label
0,0,0,1,0,0,-0.23390895296385508,-0.36374004846186236,-0.058244866731456145,0.6051575606839238,0.8633752211557086,0.7046414280139063,0.17798108848701732,0.40884883835835995,0.3387953529147654,0.5041408722368395,0.14798866214426568,-0.36792745718810027,-2.1757564088147587,-0.4913874709379541,0.16429716969029615,-0.006285159496603609,-1.30352423395001,-0.49302949810126095,1.4084990169402187,0.9792097403547825,-0.8498170771501973,0.00467974315382319,-0.6265292099087312,-0.5078391245106139,0.4728612100122197,0
0,0,0,1,0,0,-0.23390895296385508,-0.36374004846186236,0.9296539329540191,-0.9568192942808552,-1.5723841896515096,0.24602734605231305,0.17798108848701732,-0.39937186722400525,-0.27583021048976575,-0.2680573524897117,0.06594085889296261,1.5643688847729464,0.35070598966956734,2.886939642746822,0.7074283091623497,-0.04515741639201367,-1.30352423395001,-1.016024485094635,0.14747516020342605,-0.1365900928389514,-0.8498170771501973,-0.7058238215847913,-0.6265292099087312,-0.5078391245106139,-0.8833693850722376,0
0,0,0,0,1,0,-0.23390895296385508,-0.36374004846186236,-0.058244866731456145,-1.4774782459357816,-0.1109285431671787,0.24602734605231305,2.84270106583475,-0.39937186722400525,-1.8123941190010884,1.0832895407817529,0.025168637645382564,0.7687174498478094,0.31671770628188584,-0.4913874709379541,2.3368217275785104,1.7092943110863246,0.09531989492384486,0.5093775603027061,1.4084990169402187,0.5010098118431822,1.3298511239459334,-0.23215477842571497,-0.6265292099087312,0.9765825033691269,0.8385863143046576,0
1,0,0,0,1,0,-0.23390895296385508,0.27161374797807186,-0.058244866731456145,0.6051575606839238,-0.5980804253286223,-2.96427122767884,0.17798108848701732,-0.8034822200151879,-0.2758302104897623,-0.07500779630807385,-0.6947429493978453,-0.21243443390558783,-0.11855890963635553,1.7118693423347255,-0.5598776829391086,-0.42835880784151764,0.2951547704772526,0.29146298238880014,0.5125083818903922,1.4574096688663825,0.9856929869307549,1.425686872631052,-0.6265292099087312,-0.5078391245106139,0.39095402519672584,1
0,1,0,1,0,0,-0.23390895296385508,-0.36374004846186236,-1.0461436664169315,0.08449860902899742,0.3762233389942649,0.24602734605231305,0.17798108848701732,-1.207592572806375,-0.2758302104897623,1.6624382093266663,3.1480187687563284,0.0867305056262636,0.09012915036400901,-1.078922621144002,-0.7409213960964598,-0.8409117988919093,-1.30352423395001,-1.016024485094635,-1.9962653962491217,-1.4117899022032185,-0.8498170771501973,-0.7058238215847913,-0.6265292099087312,-0.5078391245106139,0.4576226640000348,0
0,0,0,1,0,0,-0.23390895296385508,-0.36374004846186236,-0.058244866731456145,0.08449860902899742,-1.5723841896515096,0.24602734605231305,-1.4208508979216223,0.8129591911495471,1.2607336980215604,-0.46110690867134946,-0.5852418505065051,0.8445316651471046,0.18455993104278418,-0.19761989583493011,-0.7409213960964598,-0.8585881575332579,0.7947419593607722,-1.016024485094635,0.27357754587710514,-1.4117899022032185,-0.8498170771501973,-0.7058238215847913,1.9786633572420789,-0.5078391245106139,0.11475537872587425,1
0,0,0,1,0,0,-0.23390895296385508,-0.36374004846186236,1.917552732639494,0.08449860902899742,-0.1109285431671787,0.24602734605231305,-0.35496290698252925,1.2170695439407297,0.953420916319293,-1.040255577216263,-0.07349007055863829,-1.8077155609304871,0.09012915036400901,-0.6382712584894661,-0.9219651092538109,6.009552371993852e-05,1.4941640237976996,-1.016024485094635,-0.8613439251860083,-1.4117899022032185,-0.8498170771501973,-0.7058238215847913,1.1102658348584755,-0.5078391245106139,-1.4852919525535417,1
0,0,1,0,0,0,0.6664623174663811,-0.36374004846186236,0.9296539329540191,0.08449860902899742,-0.1109285431671787,-1.1298148998324666,0.710925083956564,-0.8034822200151879,-1.5050813372988212,0.5041408722368395,-0.2299899632510471,0.2314254022919349,-0.46603246013641964,0.5367990419226298,-0.01674654346705503,0.940583985297539,0.6948245215840684,1.5989504498722353,0.17040286668954946,0.3097298404385421,1.1316994693008309,0.9993847337878836,-0.6265292099087312,0.5609444475627995,0.9147790443655822,0
0,0,0,0,1,0,-0.23390895296385508,-0.36374004846186236,-0.058244866731456145,1.12581651233885,-0.5980804253286223,-1.5884289817940598,1.2438690794261105,-1.207592572806375,0.03148257121250155,0.8902399846001151,0.15453235197412418,2.928342773216038,2.7015622573175393,0.24303146681960583,0.16429716969029615,-1.1721716026688702,1.0278826475064147,0.9452067161305178,0.27357754587710514,0.5010098118431822,1.0876657682685855,-0.7058238215847913,-0.047597528319662276,2.1641198056729194,-1.1119475752550114,1
0,1,0,1,0,0,-0.23390895296385508,-0.36374004846186236,-0.058244866731456145,0.6051575606839238,0.8633752211557086,0.7046414280139063,0.17798108848701732,-1.207592572806375,-1.8123941190010884,-0.6541564648529873,0.10419627635982784,-0.14059847578091836,0.2544058534044697,-0.3445036833864421,-0.5598776829391086,1.086876871357486,-1.30352423395001,0.29146298238880014,-0.6343596309733854,1.4574096688663825,-0.8498170771501973,1.425686872631052,-0.6265292099087312,-0.5078391245106139,0.35857211492083285,1
