RedOdds,BlueOdds,TitleBout,Gender,BlueStance,RedStance,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,FinishRate,WinRatio,ExpPerAge,ReachAdvantageRatio,HeightReachRatio,WinsByDecision,DecisionRate,label
185.0,-215.0,False,MALE,Orthodox,Orthodox,-3,2,-4,-7,-2,-27,-2,-8,2,-5.08,-10.16,0,1.22,0.5,0.83,Red,-0.06470588235294117,-0.06561085972850678,0.7105263157894736,1.0533333333333332,0.023966244725738273,-1,0.06470588235294117,0
-180.0,155.0,False,MALE,Orthodox,Switch,1,-2,-2,-3,0,-7,0,-1,-1,2.54,-10.16,-3,-0.41,-0.1,0.11,neither,-0.6666666666666666,-0.75,0.2222222222222222,1.0597014925373134,0.07042253521126773,-1,-0.3333333333333333,1
-137.0,110.0,False,MALE,Orthodox,Orthodox,0,0,0,0,0,0,0,0,0,2.54,2.54,-3,-1.73,-1.0,-3.0,neither,0.0,0.0,-0.015050167224080258,0.9866666666666667,0.0003603603603603567,0,0.0,1
-675.0,475.0,False,MALE,Orthodox,Orthodox,0,0,-2,-4,-2,-12,0,-2,0,2.54,-5.08,3,0.25,0.0,-1.57,neither,-0.5,-0.5714285714285714,0.42349137931034486,1.0285714285714285,0.04166666666666674,-2,-0.5,0
-167.0,157.0,False,MALE,Orthodox,Orthodox,1,0,1,1,2,1,0,0,1,0.0,-10.16,-5,-0.97,-0.2,-0.19,neither,0.5,0.0,-0.04,1.0615384615384615,0.05886287625418063,0,-0.5,0
-280.0,240.0,False,FEMALE,Orthodox,Orthodox,0,0,-1,-1,0,-2,0,0,-1,-10.16,-10.16,0,12.0,-1.5,-1.0,neither,-1.0,-0.5,0.07692307692307693,1.0634920634920635,-0.0018952854773750527,0,0.0,1
105.0,-125.0,False,MALE,Orthodox,Orthodox,0,-1,-1,-1,0,-3,1,0,0,-2.54,-10.16,-3,28.5,2.0,-1.0,neither,0.0,0.0,0.1090909090909091,1.0615384615384615,0.04526198439241924,-1,0.0,0
-375.0,313.0,False,MALE,Orthodox,Orthodox,0,0,-1,-3,-1,-7,0,0,-1,-5.08,2.54,-9,-11.5,-0.3333,-1.1667,neither,0.5,-0.41666666666666663,0.41904761904761906,0.9861111111111112,-0.04186228482003118,-2,-0.5,0
-190.0,175.0,False,MALE,Orthodox,Southpaw,0,0,-2,-3,2,-10,0,-1,-2,12.7,12.7,-5,53.6944,-0.75,-0.8056,neither,-0.6,-0.05555555555555558,0.43981481481481477,0.9333333333333333,0.0019047619047619646,0,0.6,0
-840.0,660.0,True,MALE,Southpaw,Orthodox,0,-5,-4,0,-4,-6,0,5,-2,-10.16,-25.4,-10,-32.6545,-0.1697,-1.6,neither,0.30000000000000004,-0.24242424242424243,0.4800000000000001,1.135135135135135,0.06821106821106826,-3,-0.3,0
-175.0,145.0,False,MALE,Orthodox,Orthodox,-1,2,-2,0,3,8,0,-2,1,7.62,-2.54,-3,0.36,0.1,0.21,Red,-0.20000000000000007,-0.2142857142857143,-0.29040404040404044,1.0135135135135134,0.053153153153153054,1,0.2,0
-220.0,180.0,False,MALE,Orthodox,Orthodox,0,0,-1,-2,1,-7,0,-1,0,5.08,2.54,-8,-20.75,0.0,-1.25,neither,-0.5,-0.5,0.29638009049773756,0.9863013698630138,0.014079147640791434,-1,-0.5,0
-420.0,335.0,False,FEMALE,Orthodox,Orthodox,0,0,0,0,1,3,0,0,-1,-7.62,-2.54,0,1.58,-0.6,-0.14,neither,-0.5,-0.16666666666666663,-0.1111111111111111,1.0161290322580647,-0.03200204813108032,1,0.5,0
-195.0,165.0,False,MALE,Southpaw,Southpaw,2,-1,-1,-1,4,2,0,-1,0,-10.16,-20.32,-2,-0.69,-0.2,3.57,neither,-0.06666666666666665,-0.24999999999999994,-0.12380952380952381,1.1066666666666667,0.045622489959839196,0,0.06666666666666671,0
350.0,-440.0,False,MALE,Orthodox,Orthodox,0,0,0,0,0,2,0,-1,0,-7.62,0.0,-2,42.0,1.0,3.0,neither,-1.0,0.0,-0.07652173913043478,1.0,-0.03797468354430378,1,1.0,1
-160.0,140.0,False,MALE,Southpaw,Switch,0,4,2,10,1,19,-1,2,3,5.08,0.0,1,-0.98,0.6,2.72,Red,-0.12605042016806722,0.15579710144927528,-0.48008534850640117,1.0,0.02597402597402587,5,0.12605042016806722,0
-315.0,285.0,False,MALE,Orthodox,Southpaw,0,0,0,-3,3,-13,0,-2,1,-5.08,-2.54,6,9.125,-0.125,0.25,Red,0.09999999999999998,0.375,0.35084033613445376,1.0142857142857142,-0.014688128772635811,-2,-0.09999999999999998,0
-225.0,205.0,False,MALE,Southpaw,Orthodox,1,2,-4,-7,1,-27,-1,2,-3,-7.62,-17.78,5,-4.419,-0.019,-0.3238,neither,0.1923076923076923,-0.009523809523809601,0.7316017316017316,1.1014492753623188,0.05263157894736836,-6,-0.1923076923076923,1
-245.0,205.0,False,MALE,Southpaw,Orthodox,0,0,1,-1,0,-2,-1,-3,1,5.08,2.54,-3,19.9762,0.8571,0.5476,neither,-0.18055555555555558,-0.02857142857142858,0.16969696969696968,0.9857142857142857,0.01449275362318836,1,0.18055555555555558,1
