BlueTotalTitleBouts,RedTotalTitleBouts,LoseStreakDif,WinStreakDif,LongestWinStreakDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,FightStance,WeightGroup,RedTotalFights,BlueTotalFights,HeightReachRatioDif,RedFinishRate,BlueFinishRate,RedWinRatio,BlueWinRatio,RedKOPerFight,BlueKOPerFight,RedSubPerFight,BlueSubPerFight,IsFiveRoundFight,OddsDif,label
0,0,1,0,-1,0,-1,7.6200000000000045,20.319999999999993,-3.0,-44.5,-3.5,0.0,Closed Stance,Heavy,2,0,-0.060975609756097504,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,False,-300.0,1
1,0,0,0,0,-1,0,-7.6200000000000045,-5.079999999999984,-1.0,-0.02,0.9,3.62,Closed Stance,Light,2,2,-0.015242137758055274,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.5,True,400.0,0
0,1,0,1,-2,-3,-4,-5.0800000000000125,-2.539999999999992,-6.0,19.875,-0.625,-0.625,Open Stance,Heavy,16,4,-0.013684210526315854,1.0,1.0,0.625,0.75,0.375,0.75,0.25,0.0,False,-290.0,0
0,0,0,0,0,0,0,0.0,2.5400000000000205,3.0,0.0,0.0,0.0,Closed Stance,Light,0,0,-0.014078674948240333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-230.0,0
1,0,2,-2,2,2,2,-2.539999999999992,-10.159999999999997,2.0,-3.99,-1.0,-0.6,Open Stance,Medium,2,14,0.03874269005847952,1.0,0.75,1.0,0.5714285714285714,0.5,0.21428571428571427,0.5,0.21428571428571427,False,1200.0,0
0,0,0,0,-1,-5,-2,0.0,7.619999999999976,-7.0,0.78,-0.4,-1.04,Closed Stance,Light,30,9,-0.039921722113502756,0.4444444444444444,0.16666666666666666,0.6,0.6666666666666666,0.2,0.1111111111111111,0.06666666666666667,0.0,False,-550.0,0
0,0,1,1,-2,0,-3,-2.5400000000000205,-2.539999999999992,5.0,0.875,-0.75,-3.75,Closed Stance,Light,16,1,-0.00020120724346084362,0.4,1.0,0.625,1.0,0.0625,1.0,0.1875,0.0,False,250.0,0
0,0,-1,0,2,2,0,-5.0800000000000125,5.079999999999984,-3.0,24.0,0.0,2.8571,Closed Stance,Medium,0,7,-0.055952380952380976,0.0,0.5,0.0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,False,400.0,1
0,0,1,0,0,0,0,5.0800000000000125,12.700000000000017,4.0,-9.0,0.0,0.0,Closed Stance,Light,1,0,-0.04118651301749887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,300.0,0
0,1,1,-1,1,0,0,12.700000000000017,7.6200000000000045,-4.0,3.42,0.1,0.74,Open Stance,Light,7,6,0.029211087420042747,0.6,0.6,0.7142857142857143,0.8333333333333334,0.2857142857142857,0.3333333333333333,0.14285714285714285,0.16666666666666666,True,-256.0,1
0,0,1,0,-1,-1,0,0.0,17.78,4.0,2.24,-0.7,0.87,Open Stance,Medium,2,2,-0.09883017345703926,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,False,305.0,1
0,1,1,2,0,1,0,0.0,5.0800000000000125,8.0,-17.0833,0.0,0.6667,Closed Stance,Medium,3,4,-0.02630136986301379,0.5,0.6666666666666666,0.6666666666666666,0.75,0.3333333333333333,0.5,0.0,0.0,False,-250.0,1
