RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,Finish,FinishRound,FinishRoundTime,TotalFightTimeSecs,label
Miranda Maverick,Jamey-Lyn Horth,-625.0,455.0,16.0,455.0,2024-12-14,"Tampa, Florida, USA",USA,False,Women's Flyweight,FEMALE,3,0,1,0,3.29,0.56,0.0,1.0,0.37,1,1,9,0,0,1,1,0,0,0,2,Orthodox,170.18,167.64,125,0,3,0,3.59,0.45,0.3,2.43,0.45,3,3,27,0,0,0,4,1,2,0,7,Southpaw,160.02,165.1,125,27,34,0,-2,-2,-5,-2,-18,0,-1,-2,10.16,2.54,7,-0.3,-0.3,-1.43,neither,U-DEC,3.0,5:00,900.0,0
Davey Grant,Ramon Taveras,-122.0,102.0,81.9672,102.0,2024-12-14,"Tampa, Florida, USA",USA,False,Bantamweight,MALE,3,0,2,0,4.63,0.45,0.0,0.0,0.0,2,1,5,0,0,1,0,1,0,0,2,Southpaw,172.72,177.8,135,1,0,0,4.77,0.42,0.2,1.26,0.41,3,6,32,1,0,1,1,3,1,0,6,Orthodox,172.72,175.26,135,38,30,-1,2,-1,-4,-5,-27,-1,-2,-1,0.0,2.54,-8,-0.14,-0.2,-1.26,neither,U-DEC,3.0,5:00,900.0,0
Josefine Knutsson,Piera Rodriguez,-245.0,200.0,40.8163,200.0,2024-12-14,"Tampa, Florida, USA",USA,False,Women's Strawweight,FEMALE,3,2,0,0,3.64,0.47,0.0,3.11,0.41,3,2,13,0,0,0,3,0,0,0,3,Orthodox,160.02,160.02,115,0,4,0,4.87,0.51,0.0,2.0,0.72,4,0,12,0,0,0,4,0,0,0,4,Orthodox,160.02,152.4,115,28,32,2,-4,-1,-1,2,1,0,0,0,0.0,7.62,4,-1.23,0.0,1.11,neither,U-DEC,3.0,5:00,900.0,1
Alexandre Pantoja,Kai Asakura,-250.0,215.0,40.0,215.0,2024-12-07,"Las Vegas, Nevada, USA",USA,True,Flyweight,MALE,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,125,0,6,0,4.41,0.49,0.8,2.61,0.47,6,3,42,3,0,2,4,2,4,0,12,Orthodox,165.1,170.18,125,34,31,0,-6,-6,-12,-3,-42,-3,-2,-4,7.62,5.08,-3,-4.41,-0.8,-2.61,Red,SUB,2.0,2:05,425.0,0
Shavkat Rakhmonov,Ian Machado Garry,-210.0,295.0,47.619,295.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,0,8,0,5.5,0.55,0.3,0.77,0.55,8,0,20,0,0,1,4,3,0,0,8,Orthodox,190.5,187.96,170,0,6,0,4.12,0.61,1.8,1.49,0.29,6,0,11,0,0,0,0,1,5,0,6,Orthodox,185.42,195.58,170,30,27,0,2,2,2,0,9,0,2,-5,5.08,-7.62,-3,1.38,-1.5,-0.72,Red,U-DEC,5.0,5:00,1500.0,0
Ciryl Gane,Alexander Volkov,-380.0,300.0,26.3158,300.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,3,0,4,0,5.13,0.57,0.2,0.45,0.63,4,4,44,0,0,1,4,6,1,0,12,Orthodox,200.66,203.2,250,0,1,0,5.49,0.6,0.5,0.58,0.21,7,2,33,3,0,0,3,4,2,0,9,Orthodox,193.04,205.74,245,34,36,0,3,-3,3,2,11,-3,2,-1,7.62,-2.54,2,-0.36,-0.3,-0.13,Red,S-DEC,3.0,5:00,900.0,0
Bryce Mitchell,Kron Gracie,-950.0,625.0,10.5263,625.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Featherweight,MALE,3,2,0,0,3.74,0.44,0.5,0.47,0.25,1,2,7,0,0,0,0,0,1,0,1,Southpaw,175.26,177.8,145,1,0,0,2.3,0.58,1.6,3.45,0.41,6,2,22,0,1,0,5,0,1,0,7,Southpaw,177.8,177.8,145,30,36,1,0,-5,-6,0,-15,0,0,0,-2.54,0.0,6,1.44,-1.1,-2.98,Red,KO/TKO,3.0,0:39,639.0,0
Nate Landwehr,Dooho Choi,-130.0,110.0,76.9231,110.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Featherweight,MALE,3,0,1,1,4.41,0.53,0.8,0.75,0.37,3,3,15,0,0,0,0,4,0,0,4,Orthodox,177.8,177.8,145,0,1,0,6.25,0.46,1.0,1.0,0.41,3,3,17,0,1,0,1,1,2,0,5,Orthodox,175.26,182.88,145,36,33,0,0,0,-1,0,-2,0,3,-2,2.54,-5.08,-3,-1.84,-0.2,-0.25,neither,KO/TKO,3.0,3:21,801.0,1
Dominick Reyes,Anthony Smith,-380.0,300.0,26.3158,300.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Light Heavyweight,MALE,3,1,0,0,3.24,0.49,0.6,0.46,0.26,3,12,63,1,0,1,1,7,6,0,15,Orthodox,193.04,193.04,205,0,1,0,4.87,0.5,0.3,0.35,0.28,6,4,21,2,0,1,1,4,1,0,7,Southpaw,193.04,195.58,205,34,36,1,-1,-3,8,8,42,-1,3,5,0.0,-2.54,2,-1.63,0.3,0.11,Red,KO/TKO,2.0,4:46,586.0,0
Vicente Luque,Themba Gorimbo,-650.0,-162.0,15.3846,61.7284,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,0,4,0,3.11,0.61,0.6,4.89,0.65,4,1,12,0,0,0,3,1,0,0,4,Orthodox,185.42,195.58,170,1,0,0,5.07,0.52,0.6,1.0,0.53,6,6,47,0,0,1,1,8,5,0,15,Orthodox,180.34,190.5,170,33,33,-1,4,-2,-11,-5,-35,0,-7,-5,5.08,5.08,0,-1.96,0.0,3.89,Red,SUB,1.0,0:52,52.0,0
Movsar Evloev,Aljamain Sterling,-238.0,195.0,42.0168,195.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Featherweight,MALE,3,0,1,0,4.61,0.52,0.7,2.31,0.27,9,4,57,5,0,2,7,2,4,0,16,Orthodox,170.18,180.34,145,0,8,0,4.43,0.48,0.2,4.75,0.46,8,0,24,0,0,1,7,0,0,0,8,Orthodox,170.18,182.88,145,30,35,0,-7,1,8,4,33,5,2,4,0.0,-2.54,5,0.18,0.5,-2.44,Red,U-DEC,3.0,5:00,900.0,0
Randy Brown,Bryan Battle,150.0,-180.0,150.0,55.5556,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,0,3,0,5.44,0.53,0.5,0.96,0.23,3,1,16,0,0,0,1,3,2,0,6,Orthodox,185.42,195.58,170,0,3,0,4.38,0.47,0.6,0.72,0.39,4,5,43,0,0,1,6,3,3,0,13,Orthodox,190.5,198.12,170,34,30,0,0,-1,-7,-4,-27,0,0,-1,-5.08,-2.54,-4,1.06,-0.1,0.24,neither,S-DEC,3.0,5:00,900.0,1
Chris Weidman,Eryk Anders,-112.0,-108.0,89.2857,92.5926,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Catch Weight,MALE,3,0,1,0,3.41,0.47,0.1,1.79,0.26,2,8,44,0,0,1,3,4,0,0,8,Southpaw,185.42,190.5,185,0,1,0,3.18,0.45,0.8,3.44,0.42,9,7,46,5,0,0,5,4,3,0,12,Orthodox,187.96,198.12,185,40,37,0,0,-7,-4,1,-2,-5,0,-3,-2.54,-7.62,-3,0.23,-0.7,-1.65,neither,KO/TKO,2.0,4:51,591.0,1
Cody Durden,Joshua Van,142.0,-170.0,142.0,58.8235,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Flyweight,MALE,3,0,1,0,8.39,0.53,0.0,1.62,0.63,3,1,14,0,0,1,2,1,0,0,4,Orthodox,165.1,165.1,125,0,1,1,3.35,0.5,0.9,4.36,0.5,4,4,24,0,0,0,4,1,1,0,6,Southpaw,170.18,170.18,125,33,23,0,0,-1,-2,-3,-10,0,0,-1,-5.08,-5.08,-10,5.04,-0.9,-2.74,Red,U-DEC,3.0,5:00,900.0,1
Michael Chiesa,Max Griffin,-130.0,110.0,76.9231,110.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Welterweight,MALE,3,0,1,0,3.92,0.49,0.3,1.45,0.41,3,8,44,0,1,2,2,3,0,0,8,Orthodox,180.34,193.04,170,0,1,0,1.86,0.4,1.0,3.35,0.51,4,7,41,1,0,0,5,0,7,0,12,Southpaw,185.42,190.5,170,37,39,0,0,-1,-4,1,3,-1,3,-7,-5.08,2.54,2,2.06,-0.7,-1.9,neither,SUB,3.0,1:56,716.0,0
Clay Guida,Chase Hooper,700.0,-1100.0,700.0,9.0909,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Lightweight,MALE,3,0,3,0,5.08,0.52,2.3,1.45,0.24,3,3,23,0,0,0,2,2,3,0,7,Southpaw,185.42,187.96,155,2,0,0,2.64,0.33,0.6,3.13,0.36,4,19,105,2,0,4,9,2,5,0,20,Orthodox,170.18,177.8,155,42,25,-2,3,-1,-13,-16,-82,-2,0,-2,15.24,10.16,-17,2.44,1.7,-1.68,neither,SUB,1.0,3:41,221.0,1
Kennedy Nzechukwu,Lukasz Brzeski,-550.0,410.0,18.1818,410.0,2024-12-07,"Las Vegas, Nevada, USA",USA,False,Heavyweight,MALE,3,1,0,0,4.9,0.5,0.5,0.46,0.5,1,4,14,0,0,0,1,0,1,0,2,Orthodox,193.04,198.12,236,0,1,0,5.34,0.47,0.2,0.58,0.45,3,5,31,0,0,1,1,6,1,0,9,Southpaw,195.58,210.82,205,32,32,1,-1,-2,-7,-1,-17,0,-6,0,-2.54,-12.7,0,-0.44,0.3,-0.12,neither,KO/TKO,1.0,4:51,291.0,0
Petr Yan,Deiveson Figueiredo,-305.0,245.0,32.7869,245.0,2024-11-23,"Macau, China",China,False,Bantamweight,MALE,5,0,3,1,2.91,0.54,1.4,1.62,0.34,5,3,44,6,0,1,4,4,4,0,13,Orthodox,165.1,172.72,135,0,1,0,5.11,0.54,0.1,1.61,0.49,7,4,45,4,0,0,5,4,0,0,9,Switch,170.18,170.18,135,31,36,0,2,-2,4,-1,-1,2,0,4,-5.08,2.54,5,-2.2,1.3,0.01,Red,U-DEC,5.0,5:00,1500.0,0
Yan Xiaonan,Tabatha Ricci,-198.0,164.0,50.5051,164.0,2024-11-23,"Macau, China",China,False,Women's Strawweight,FEMALE,3,0,2,0,4.18,0.36,0.1,2.74,0.37,4,2,22,0,0,1,4,0,1,0,6,Orthodox,154.94,154.94,115,1,0,0,4.99,0.45,0.0,0.92,0.73,6,3,34,1,1,0,6,1,0,0,8,Orthodox,165.1,160.02,115,35,29,-1,2,-2,-2,-1,-12,-1,-1,1,-10.16,-5.08,-6,-0.81,0.1,1.82,Red,U-DEC,3.0,5:00,900.0,0
Wang Cong,Gabriella Fernandes,-950.0,750.0,10.5263,750.0,2024-11-23,"Macau, China",China,False,Women's Flyweight,FEMALE,3,0,1,0,3.46,0.46,0.3,0.56,0.18,1,2,9,0,0,1,0,0,0,0,1,Southpaw,167.64,167.64,125,0,2,0,5.81,0.46,2.3,1.16,0.5,2,0,2,0,0,0,0,1,1,0,2,Southpaw,167.64,167.64,125,32,31,0,-1,-1,-1,2,7,0,-1,-1,0.0,0.0,-1,-2.35,-2.0,-0.6,neither,SUB,2.0,3:49,529.0,1
Volkan Oezdemir,Carlos Ulberg,215.0,-265.0,215.0,37.7358,2024-11-23,"Macau, China",China,False,Light Heavyweight,MALE,3,0,6,0,7.2,0.56,0.2,0.72,0.75,6,1,13,0,0,0,1,5,1,0,7,Orthodox,193.04,195.58,205,0,2,0,4.95,0.48,0.1,0.5,0.29,3,6,31,1,0,2,1,4,1,0,8,Orthodox,187.96,190.5,205,35,34,0,4,3,-1,-5,-18,-1,1,0,5.08,5.08,-1,2.25,0.1,0.22,Red,U-DEC,3.0,5:00,900.0,1
Zhang Mingyang,Ozzy Diaz,-225.0,210.0,44.4444,210.0,2024-11-23,"Macau, China",China,False,Light Heavyweight,MALE,3,1,0,0,2.21,0.43,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,193.04,200.66,205,0,2,0,8.57,0.55,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,Orthodox,187.96,190.5,205,26,34,1,-2,-2,-2,1,0,0,-2,0,5.08,10.16,8,-6.36,0.0,0.0,neither,KO/TKO,1.0,2:25,145.0,0
Baergeng Jieleyisi,SuYoung You,190.0,-230.0,190.0,43.4783,2024-11-23,"Macau, China",China,False,Bantamweight,MALE,3,0,2,0,2.11,0.42,0.3,4.67,0.58,2,0,6,0,0,1,1,0,0,0,2,Orthodox,167.64,165.1,135,0,2,0,1.75,0.38,0.3,1.65,0.75,2,1,8,0,0,0,1,0,1,0,2,Orthodox,175.26,177.8,135,28,28,0,0,0,0,-1,-2,0,0,-1,-7.62,-12.7,0,0.36,0.0,3.02,neither,U-DEC,3.0,5:00,900.0,1
Kiru Sahota,DongHun Choi,102.0,-122.0,102.0,81.9672,2024-11-23,"Macau, China",China,False,Flyweight,MALE,3,0,2,0,4.54,0.66,0.0,0.46,0.14,2,0,6,0,0,2,0,0,0,0,2,Switch,165.1,167.64,125,0,2,0,4.05,0.52,0.5,0.92,0.33,2,0,6,0,0,1,1,0,0,0,2,Orthodox,177.8,185.42,125,29,25,0,0,0,0,0,0,0,0,0,-12.7,-17.78,-4,0.49,-0.5,-0.46,neither,KO/TKO,1.0,2:36,156.0,1
Shi Ming,Feng Xiaocan,380.0,-490.0,380.0,20.4082,2024-11-23,"Macau, China",China,False,Women's Strawweight,FEMALE,3,0,2,0,5.43,0.5,0.0,1.08,1.0,2,0,4,0,0,0,1,1,0,0,2,Southpaw,170.18,167.64,115,0,2,0,3.48,0.39,0.0,0.37,0.16,2,0,6,0,0,1,1,0,0,0,2,Orthodox,157.48,152.4,115,30,22,0,0,0,0,0,-2,0,1,0,12.7,15.24,-8,1.95,0.0,0.71,neither,KO/TKO,3.0,0:46,646.0,0
Nyamjargal Tumendemberel,Carlos Hernandez,102.0,-122.0,102.0,81.9672,2024-11-23,"Macau, China",China,False,Flyweight,MALE,3,2,0,0,3.9,0.45,0.2,1.6,0.21,2,3,15,0,0,2,1,0,0,0,3,Orthodox,172.72,170.18,125,0,2,0,3.13,0.38,2.4,2.42,0.31,2,0,4,0,0,1,0,0,1,0,2,Orthodox,170.18,180.34,125,26,31,2,-2,0,1,3,11,0,0,-1,2.54,-10.16,5,0.77,-2.2,-0.82,neither,S-DEC,3.0,5:00,900.0,1
Lone'er Kavanagh,Jose Ochoa,-310.0,250.0,32.2581,250.0,2024-11-23,"Macau, China",China,False,Flyweight,MALE,3,0,0,0,3.33,0.31,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,170.18,170.18,125,0,1,0,3.62,0.43,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,162.56,170.18,125,25,23,0,-1,-1,-1,0,-1,0,-1,0,7.62,0.0,-2,-0.29,1.0,0.0,neither,U-DEC,3.0,5:00,900.0,0
Xiao Long,Quang Le,-144.0,136.0,69.4444,136.0,2024-11-23,"Macau, China",China,False,Bantamweight,MALE,3,1,0,0,3.02,0.35,0.0,1.7,0.23,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,177.8,135,1,0,0,5.4,0.5,0.0,0.84,0.25,2,2,12,0,1,1,0,0,0,0,2,Orthodox,172.72,177.8,135,26,33,0,0,-2,-2,-1,-9,0,0,0,-5.08,0.0,7,-2.38,0.0,0.86,neither,KO/TKO,3.0,1:28,688.0,0
Maheshate,Nikolas Motta,-245.0,200.0,40.8163,200.0,2024-11-23,"Macau, China",China,False,Lightweight,MALE,3,0,1,0,3.64,0.37,0.0,0.0,0.0,1,2,11,0,0,0,1,2,0,0,3,Orthodox,175.26,177.8,155,0,1,0,3.86,0.29,0.0,0.0,0.0,2,2,12,0,0,1,1,1,0,0,3,Orthodox,182.88,180.34,155,24,31,0,0,-1,0,0,-1,0,1,0,-7.62,-2.54,7,-0.22,0.0,0.0,neither,U-DEC,3.0,5:00,900.0,1
Jon Jones,Stipe Miocic,-550.0,410.0,18.1818,410.0,2024-11-16,"New York City, New York, USA",USA,True,Heavyweight,MALE,5,1,0,0,4.67,0.52,0.0,1.74,0.34,6,4,46,8,0,0,5,9,0,0,14,Orthodox,193.04,203.2,240,0,18,0,4.38,0.58,0.5,1.89,0.45,18,1,74,16,0,1,9,5,6,0,21,Orthodox,193.04,213.36,248,37,42,1,-18,-12,-7,3,-28,-8,4,-6,0.0,-10.16,5,0.29,-0.5,-0.15,Red,KO/TKO,3.0,4:29,869.0,0
Charles Oliveira,Michael Chandler,-265.0,215.0,37.7358,215.0,2024-11-16,"New York City, New York, USA",USA,False,Lightweight,MALE,3,1,0,0,4.49,0.5,0.6,1.59,0.37,3,3,14,1,0,0,0,3,1,0,4,Orthodox,172.72,180.34,155,1,0,0,3.4,0.55,2.7,2.25,0.4,11,10,63,3,0,0,2,4,16,0,22,Orthodox,177.8,187.96,155,35,38,0,0,-8,-18,-7,-49,-2,-1,-15,-5.08,-7.62,3,1.09,-2.1,-0.66,Red,U-DEC,5.0,5:00,1500.0,0
Bo Nickal,Paul Craig,-1350.0,800.0,7.4074,800.0,2024-11-16,"New York City, New York, USA",USA,False,Middleweight,MALE,3,2,0,1,2.52,0.44,1.4,1.52,0.2,4,8,34,0,0,0,0,3,6,0,9,Orthodox,190.5,193.04,185,0,5,0,2.65,0.63,3.6,3.61,0.5,5,0,6,0,0,0,0,1,4,0,5,Southpaw,185.42,193.04,185,28,36,2,-5,-1,4,8,28,0,2,2,5.08,0.0,8,-0.13,-2.2,-2.09,neither,U-DEC,3.0,5:00,900.0,0
Viviane Araujo,Karine Silva,235.0,-290.0,235.0,34.4828,2024-11-16,"New York City, New York, USA",USA,False,Women's Flyweight,FEMALE,3,0,5,0,3.04,0.38,1.9,2.79,0.5,5,0,8,0,0,0,1,0,4,0,5,Orthodox,165.1,170.18,125,1,0,0,4.04,0.47,0.7,1.86,0.43,2,5,35,0,0,0,5,1,0,0,6,Orthodox,162.56,172.72,125,37,30,-1,5,3,-1,-5,-27,0,-1,4,2.54,-2.54,-7,-1.0,1.2,0.93,Blue,U-DEC,3.0,5:00,900.0,0
Mauricio Ruffy,James Llontop,-1000.0,650.0,10.0,650.0,2024-11-16,"New York City, New York, USA",USA,False,Catch Weight,MALE,3,2,0,0,5.57,0.41,0.0,0.0,0.0,1,2,7,0,0,0,1,0,0,0,1,Orthodox,182.88,185.42,155,0,2,0,4.7,0.59,0.0,0.0,0.0,2,0,4,0,0,0,0,2,0,0,2,Orthodox,180.34,190.5,155,28,25,2,-2,-1,-1,2,3,0,-2,0,2.54,-5.08,-3,0.87,0.0,0.0,neither,U-DEC,3.0,5:00,900.0,0
Jonathan Martinez,Marcus McGhee,-105.0,-115.0,95.2381,86.9565,2024-11-16,"New York City, New York, USA",USA,False,Bantamweight,MALE,3,0,3,0,6.06,0.48,0.5,0.46,0.33,3,0,5,0,0,0,0,2,1,0,3,Orthodox,172.72,175.26,135,1,0,0,4.44,0.49,0.1,0.38,0.35,6,4,39,0,0,0,6,4,0,0,10,Southpaw,172.72,177.8,135,30,34,-1,3,-3,-7,-4,-34,0,-2,1,0.0,-2.54,4,1.62,0.4,0.08,Red,U-DEC,3.0,5:00,900.0,1
